valores,rua,bairro_cidade,link
"R$1,850,000",Rua Dr. Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$395,000",Rua Maestro Elias Lobo,"Jardim Paulista, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$1,125,000",Rua Oscar Freire,"Pinheiros, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$430,000",Rua Curupace,"Mooca, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$3,510,000",Rua Doutor Alberto Cardoso de Melo Neto,"Jardim Europa, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$2,120,000",Rua Caminho do Pilar,"Vila Gilda, Santo André",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$310,000",Rua Edmundo Kirmayr,"Vila Roque, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$660,000",Rua dos Pinheiros,"Pinheiros, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$670,000",Av. Celso Garcia,"Tatuapé, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$745,000",Rua Cubatão,"Vila Mariana, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$675,000",Av. Celso Garcia,"Tatuapé, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$1,200,000",Rua Martinico Prado,"Vila Buarque, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$899,000",Rua Gonçalo da Cunha,"Chácara Inglesa, São Paulo",/imovel/238959/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$3,200,000",Rua José Maria Lisboa,"Jardim Paulista, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$3,990,000",Rua Montesquiéu,"Jardim Vila Mariana, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$585,000",Rua Riachuelo,"Vila Assunção, Santo André",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$435,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$1,060,000",Rua Doutor Thirso Martins,"Vila Mariana, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$230,000",Rua Coronel Mursa,"Brás, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$499,000",Rua Mauro,"Saúde, São Paulo",/imovel/118988/apartamento-2-dorms-saude-sao_paulo-venda/
"R$750,000",Rua Xavier da Veiga,"Santana, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$4,500,000",Av. Aratãs,"Indianópolis, São Paulo",/imovel/154012/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$1,680,000",Rua Itacema,"Itaim Bibi, São Paulo",/imovel/238959/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$300,000",Rua Coronel Alfredo Fláquer,"Centro, Santo André",/imovel/238959/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$1,700,000",Rua Manuel de Almeida,"Vila Paiva, São Paulo",/imovel/238407/apartamento-3-dorms-vila_paiva-sao_paulo-venda/
"R$179,900",Rua Wandenkolk,"Mooca, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$400,000",Rua Cirino de Abreu,"Guaiaúna, São Paulo",/imovel/151868/apartamento-3-dorms-guaiauna-sao_paulo-venda/
